,lwe_thickness,total_thickness_of_water_storage
2012-02-29,7.448645571524894,2.6832682291715173
2012-03-31,7.115735004619336,1.6676432291715173
2012-04-30,6.777728301706093,-0.2464192708284827
2012-05-31,,-2.4807942708284827
2012-06-30,-0.9193420737125315,-4.004231770828483
2012-07-31,1.1061677880196903,-2.4339192708284827
2012-08-31,-1.0067430192668239,-5.379231770828483
2012-09-30,-3.706759875480296,-6.215169270828483
2012-10-31,,-5.801106770828483
2012-11-30,-0.23830933845671265,-4.199544270828483
2012-12-31,-0.3836558108207861,-1.0979817708284827
2013-01-31,5.337027702732729,2.1363932291715173
2013-02-28,7.802348731741037,3.8707682291715173
2013-03-31,,3.5426432291715173
2013-04-30,8.177449527785477,1.6910807291715173
2013-05-31,7.764450770790762,1.3395182291715173
2013-06-30,7.864678978335644,4.972330729171517
2013-07-31,4.976286857747599,-0.6604817708284827
2013-08-31,,-3.3323567708284827
2013-09-30,,-3.6448567708284827
2013-10-31,0.19087341103730504,-2.9339192708284827
2013-11-30,2.9679624283336787,-1.0354817708284827
2013-12-31,2.535711621632453,-0.1682942708284827
2014-01-31,2.9415872964042693,0.2848307291715173
2014-02-28,,0.2067057291715173
2014-03-31,3.273818046434207,-0.8948567708284827
2014-04-30,2.5232871923179667,-1.8011067708284827
2014-05-31,-0.18538193880983234,-1.1761067708284827
2014-06-30,-1.2537243844299082,-2.9807942708284827
2014-07-31,,-3.3323567708284827
2014-08-31,-2.2727807460142566,-3.1057942708284827
2014-09-30,-1.5988378110205623,-2.6682942708284827
2014-10-31,-3.048380801223498,-2.4339192708284827
2014-11-30,0.13595939204620489,-2.1057942708284827
2014-12-31,,-1.0276692708284827
2015-01-31,4.477677190851677,2.6129557291715173
2015-02-28,6.017421171115696,2.5192057291715173
2015-03-31,3.394249881978528,1.5035807291715173
2015-04-30,1.7070667409903444,1.0817057291715173
2015-05-31,,-1.6370442708284827
2015-06-30,,-4.730794270828483
2015-07-31,-7.642622458397301,-6.613606770828483
2015-08-31,-8.261391137829111,-7.332356770828483
2015-09-30,-9.799037296534603,-8.058919270828483
2015-10-31,,-7.152669270828483
2015-11-30,,-5.269856770828483
2015-12-31,-4.9115001720475036,-2.4807942708284827
