,lwe_thickness,total_thickness_of_water_storage
2008-06-30,4.0391790716476175,17.251364683493648
2008-07-31,-3.2514749161313143,8.671042417868648
2008-08-31,-6.130005692876907,2.108542417868648
2008-09-30,-8.944709902120383,3.009909605368648
2008-10-31,-10.858596869448363,1.420065855368648
2008-11-30,-1.3576682416157029,16.063620542868648
2008-12-31,10.361512108356663,28.947897886618648
2009-01-31,10.152713184979982,31.174460386618648
2009-02-28,11.018885480063672,35.54604241786865
2009-03-31,13.227773289332536,33.39028069911865
2009-04-30,14.060468705919808,36.31947991786865
2009-05-31,9.986032633912455,31.830222105368648
2009-06-30,3.32721504065305,18.198630308493648
2009-07-31,-1.7839729901403478,9.144186949118648
2009-08-31,-7.420040604488821,1.599509214743648
2009-09-30,-11.443374921371523,-0.30625250400635196
2009-10-31,-11.721849433974658,-0.060158754006351955
2009-11-30,-7.253096801830885,5.665427183493648
2009-12-31,-1.4938733551984145,16.053122495993648
2010-01-31,6.262856081430769,23.440817808493648
2010-02-28,7.445681996660142,26.439108824118648
2010-03-31,7.089263260151627,30.271872495993648
2010-04-30,6.299418200954897,28.930808042868648
2010-05-31,7.18036022857161,31.626608824118648
2010-06-30,2.747178359297241,24.247702574118648
2010-07-31,-0.920567875661518,14.407370542868648
2010-08-31,-5.53329349936854,12.503317808493648
2010-09-30,-7.6858466542692065,12.324362730368648
2010-10-31,-7.810694071700426,16.171774839743648
2010-11-30,0.4959423561214304,29.549460386618648
2010-12-31,5.0218155188635345,33.16689202724365
2011-01-31,,31.615134214743648
2011-02-28,2.6812215823613346,29.607077574118648
2011-03-31,7.162119005815028,33.41347405849365
2011-04-30,2.859360335300331,25.476706480368648
2011-05-31,-0.795835298702284,17.594626402243648
2011-06-30,,17.724509214743648
2011-07-31,-5.9084742577181375,12.615134214743648
2011-08-31,-6.849300210959574,6.989401792868648
2011-09-30,-12.161512429609791,4.187399839743648
2011-10-31,-12.989825442416755,1.999167417868648
2011-11-30,-7.770360209503504,14.544089292868648
2011-12-31,,14.818503355368648
2012-01-31,1.0627927330546776,16.636862730368648
2012-02-29,1.5075973727532164,19.342673277243648
2012-03-31,3.5834655891966416,18.458151792868648
2012-04-30,-2.634609769125099,20.491843199118648
2012-05-31,,23.610495542868648
2012-06-30,-3.3797074180495823,18.081686949118648
2012-07-31,-9.040895120224146,9.851218199118648
2012-08-31,-16.15463944290036,4.499655699118648
2012-09-30,-13.370010740838842,7.271872495993648
2012-10-31,,11.310690855368648
2012-11-30,-1.3506455360546208,21.567770933493648
2012-12-31,2.2277168341163645,28.428854917868648
2013-01-31,8.74832389206689,29.589255308493648
2013-02-28,10.193328929642586,32.28578851161865
2013-03-31,,37.45619866786865
2013-04-30,10.602571839257115,39.99404046474365
2013-05-31,13.952467717632757,42.48891351161865
2013-06-30,11.282352000903975,34.85903069911865
2013-07-31,-1.2259283615343044,22.453268980368648
2013-08-31,,13.578268980368648
2013-09-30,,10.278464292868648
2013-10-31,-4.796471439208866,15.450095152243648
2013-11-30,3.293099883855624,24.495017027243648
2013-12-31,2.6964214673240576,27.576071714743648
2014-01-31,6.879691304971566,38.12026116786865
2014-02-28,,46.65175530849365
2014-03-31,16.72539105745628,44.44765374599365
2014-04-30,8.68332297780515,37.71059319911865
2014-05-31,7.460381493990145,35.63905999599365
2014-06-30,0.4526982627975056,27.270651792868648
2014-07-31,,25.383444761618648
2014-08-31,2.6569961683957413,27.078513120993648
2014-09-30,-2.1893258056271048,22.888571714743648
2014-10-31,-4.003060224895131,23.245993589743648
2014-11-30,6.3708126847335675,36.34364983974365
2014-12-31,,39.44252679286865
2015-01-31,11.603613518983362,36.02138421474365
2015-02-28,12.746777696777771,41.48671624599365
2015-03-31,9.327118203416438,40.29189202724365
2015-04-30,7.642039705555122,36.03871819911865
2015-05-31,,34.02065179286865
2015-06-30,,28.374899839743648
2015-07-31,-8.991571294360025,17.052145933493648
2015-08-31,-10.868266385118506,11.954733824118648
2015-09-30,-13.74173729724054,13.994528745993648
2015-10-31,,20.182272886618648
2015-11-30,,19.356101011618648
2015-12-31,-14.593494742127563,17.614890074118648
2016-01-31,-6.1386760577060855,19.829733824118648
2016-02-29,-3.181366917041958,25.463278745993648
2016-03-31,2.053120218783516,34.25917718349365
2016-04-30,,31.053122495993648
2016-05-31,1.397815531948302,30.646628355368648
2016-06-30,2.0580682260882073,30.235495542868648
2016-07-31,-4.141478495748878,20.707175230368648
2016-08-31,-9.465452633083029,15.436179136618648
2016-09-30,,12.171530699118648
2016-10-31,,15.475729917868648
2016-11-30,-6.5095168073296055,23.417136167868648
2016-12-31,-7.213220221153491,28.764304136618648
2017-01-31,-6.331386679640469,26.432761167868648
2017-02-28,,29.750876402243648
2017-03-31,-3.0532381875706864,30.826804136618648
2017-04-30,-4.817687712227292,28.050925230368648
2017-05-31,-2.165263109161947,28.210349058493648
2017-06-30,-6.427741234613214,18.879782652243648
2017-07-31,,14.964743589743648
2017-08-31,,10.627585386618648
2017-09-30,,14.090964292868648
2017-10-31,,11.425681089743648
2017-11-30,,15.141257261618648
2017-12-31,,21.684958433493648
2018-01-31,,31.600241636618648
2018-02-28,,35.99599358974365
2018-03-31,,43.16811273036865
2018-04-30,,45.44765374599365
2018-05-31,,43.31288812099365
2018-06-30,-1.5112599679576864,37.27309319911865
2018-07-31,-9.871773612562462,26.700095152243648
2018-08-31,,19.826804136618648
2018-09-30,,19.270407652243648
2018-10-31,-19.58576622816538,19.302634214743648
2018-11-30,-10.654909620763364,37.80287835536865
2018-12-31,-6.5865929025092615,36.28822991786865
2019-01-31,-6.22215937586571,34.24257562099365
2019-02-28,-2.2046932002831228,37.21108148036865
2019-03-31,-1.700978269541133,33.47450921474365
2019-04-30,-3.9610312582326554,35.64321038661865
2019-05-31,-1.3302317608913174,39.60146233974365
2019-06-30,-8.112071630229005,34.51259515224365
2019-07-31,-15.720625527532405,24.195700620993648
2019-08-31,-16.661089690159375,20.543845152243648
2019-09-30,-19.893455120292526,20.523093199118648
2019-10-31,-19.68712446332713,23.969626402243648
2019-11-30,-6.294849881315303,42.15322015224365
2019-12-31,2.2432281739843174,51.00795648036865
