,lwe_thickness,total_thickness_of_water_storage
1979-11-30,,-9.93089276894716
1979-12-31,,-8.57688886269716
1980-01-31,,-2.35179120644716
1980-02-29,,-2.21263105019716
1980-03-31,,-0.6144865189471602
1980-04-30,,-1.6013029251971602
1980-05-31,,-4.38157636269716
1980-06-30,,-4.34104901894716
1980-07-31,,-11.40208417519716
1980-08-31,,-18.68186933144716
1980-09-30,,-21.60032636269716
1980-10-31,,-18.12522870644716
1980-11-30,,-11.79905683144716
1980-12-31,,-11.49925214394716
1981-01-31,,-12.48948651894716
1981-02-28,,-14.14573651894716
1981-03-31,,-13.60862714394716
1981-04-30,,-9.95579511269716
1981-05-31,,-9.26585370644716
1981-06-30,,-13.86643964394716
1981-07-31,,-13.08567792519716
1981-08-31,,-18.37571698769716
1981-09-30,,-15.33079511269716
1981-10-31,,-11.42112714394716
1981-11-30,,-12.25511151894716
1981-12-31,,-9.45286542519716
1982-01-31,,-1.0930021439471602
1982-02-28,,-2.78782636269716
1982-03-31,,-1.2570646439471602
1982-04-30,,-3.91868573769716
1982-05-31,,-6.53684980019716
1982-06-30,,-13.94163495644716
1982-07-31,,-20.71653730019716
1982-08-31,,-18.72434980019716
1982-09-30,,-17.86155683144716
1982-10-31,,-11.69554120644716
1982-11-30,,-6.89475995644716
1982-12-31,,-1.8122404251971602
1983-01-31,,-4.82005292519716
1983-02-28,,-4.97581464394716
1983-03-31,,-2.38206464394716
1983-04-30,,2.79664629355284
1983-05-31,,3.48707598105284
1983-06-30,,-1.9230802689471602
1983-07-31,,-10.12962323769716
1983-08-31,,-16.18626386269716
1983-09-30,,-16.48118573769716
1983-10-31,,-19.25511151894716
1983-11-30,,-19.12571698769716
1983-12-31,,-13.28001386269716
1984-01-31,,-7.19798261269716
1984-02-29,,-4.28538495644716
1984-03-31,,-0.02757245644716022
1984-04-30,,4.23121660605284
1984-05-31,,8.14430254355284
1984-06-30,,7.16627519980284
1984-07-31,,-7.74925214394716
1984-08-31,,-8.52171308144716
1984-09-30,,-7.14427167519716
1984-10-31,,-3.15940839394716
1984-11-30,,-2.34446698769716
1984-12-31,,1.1252595748028398
1985-01-31,,4.15406816855284
1985-02-28,,7.60377519980284
1985-03-31,,13.09840410605284
1985-04-30,,10.59938066855284
1985-05-31,,10.73121660605284
1985-06-30,,5.23219316855284
1985-07-31,,-4.93284589394716
1985-08-31,,-9.85276776894716
1985-09-30,,-13.92405683144716
1985-10-31,,-16.97776776894716
1985-11-30,,-11.90403730019716
1985-12-31,,-7.76878339394716
1986-01-31,,-1.2184904251971602
1986-02-28,,10.24000566855284
1986-03-31,,11.69557207480284
1986-04-30,,16.21803301230284
1986-05-31,,15.43092363730284
1986-06-30,,5.55592363730284
1986-07-31,,-1.7453458939471602
1986-08-31,,-6.10032636269716
1986-09-30,,-6.36839276894716
1986-10-31,,-8.94651776894716
1986-11-30,,-7.07737714394716
1986-12-31,,-5.14964276894716
1987-01-31,,-0.5261076126971602
1987-02-28,,6.96070879355284
1987-03-31,,8.73512285605284
1987-04-30,,10.30299394980284
1987-05-31,,4.90211504355284
1987-06-30,,2.76490801230284
1987-07-31,,-0.9616544876971602
1987-08-31,,-5.09690839394716
1987-09-30,,-5.71800214394716
1987-10-31,,0.4895173873028398
1987-11-30,,1.9402009810528398
1987-12-31,,8.26197832480284
1988-01-31,,8.90406816855284
1988-02-29,,13.40699785605284
1988-03-31,,10.78932207480284
1988-04-30,,14.02174394980284
1988-05-31,,13.00367754355284
1988-06-30,,10.28443926230284
1988-07-31,,3.71070879355284
1988-08-31,,-2.26097089394716
1988-09-30,,-5.07542401894716
1988-10-31,,-0.8932951126971602
1988-11-30,,-1.6213224564471602
1988-12-31,,3.20338457480284
1989-01-31,,0.6272126998028398
1989-02-28,,0.2556306685528398
1989-03-31,,5.10279863730284
1989-04-30,,15.06959551230284
1989-05-31,,13.04664629355284
1989-06-30,,6.50270098105284
1989-07-31,,3.17359941855284
1989-08-31,,-0.5446623001971602
1989-09-30,,0.4582673873028398
1989-10-31,,-2.06517011269716
1989-11-30,,-0.3083341751971602
1989-12-31,,1.2561189498028398
1990-01-31,,1.0378572310528398
1990-02-28,,5.79274004355284
1990-03-31,,4.88795488730284
1990-04-30,,10.77516191855284
1990-05-31,,8.30348223105284
1990-06-30,,5.77857988730284
1990-07-31,,-0.7399748001971602
1990-08-31,,-3.78440839394716
1990-09-30,,-4.29173261269716
1990-10-31,,2.67115801230284
1990-11-30,,7.66627519980284
1990-12-31,,13.77076738730284
1991-01-31,,15.62525957480284
1991-02-28,,15.87477129355284
1991-03-31,,17.99781816855284
1991-04-30,,16.27125566855284
1991-05-31,,17.51979082480284
1991-06-30,,12.97047441855284
1991-07-31,,3.88063066855284
1991-08-31,,-1.8244474564471602
1991-09-30,,-3.08274823769716
1991-10-31,,9.22535723105284
1991-11-30,,9.35865801230284
1991-12-31,,9.43873613730284
1992-01-31,,10.51979082480284
1992-02-29,,10.91578691855284
1992-03-31,,9.23463457480284
1992-04-30,,15.24293535605284
1992-05-31,,10.36207598105284
1992-06-30,,10.89527910605284
1992-07-31,,9.97584551230284
1992-08-31,,4.17799394980284
1992-09-30,,3.99440019980284
1992-10-31,,17.36451738730284
1992-11-30,,17.31715410605284
1992-12-31,,20.89869707480284
1993-01-31,,16.41578691855284
1993-02-28,,13.27272051230284
1993-03-31,,16.06861894980284
1993-04-30,,17.14674394980284
1993-05-31,,15.94850176230284
1993-06-30,,8.76979082480284
1993-07-31,,6.12574785605284
1993-08-31,,1.3308259810528398
1993-09-30,,7.12916582480284
1993-10-31,,21.46510332480284
1993-11-30,,18.97242754355284
