,lwe_thickness,total_thickness_of_water_storage
1988-06-30,,5.07053699712651
1988-07-31,,1.53342762212651
1988-08-31,,-2.94875011224849
1988-09-30,,-4.61891612787349
1988-10-31,,-3.08534679193599
1988-11-30,,-1.09462413568599
1988-12-31,,-1.08778819818599
1989-01-31,,-1.44008312006099
1989-02-28,,-1.58095226068599
1989-03-31,,-0.35084972162349004
1989-04-30,,1.55869617681401
1989-05-31,,-0.69521007318599
1989-06-30,,-2.75514659662349
1989-07-31,,-5.36610851068599
1989-08-31,,-5.48231944818599
1989-09-30,,-4.13551769037349
1989-10-31,,-5.27943858881099
1989-11-30,,-2.29604015131099
1989-12-31,,2.13804187993901
1990-01-31,,3.51609363775151
1990-02-28,,2.45103016118901
1990-03-31,,-0.94057140131099
1990-04-30,,-1.29701671381099
1990-05-31,,-1.62941417474849
1990-06-30,,-1.92116222162349
1990-07-31,,-5.05568370599849
1990-08-31,,-6.34010753412349
1990-09-30,,-5.81105479974849
1990-10-31,,-3.74062022943599
1990-11-30,,-0.86159190912349
1990-12-31,,1.28940906743901
1991-01-31,,1.37217273931401
1991-02-28,,2.71628895025151
1991-03-31,,3.41196766118901
1991-04-30,,3.76682605962651
1991-05-31,,1.73228016118901
1991-06-30,,-2.69264659662349
1991-07-31,,-5.23720226068599
1991-08-31,,-6.63844737787349
1991-09-30,,-4.76723155756099
1991-10-31,,-2.91652354974849
1991-11-30,,-0.43935069818599004
1991-12-31,,1.64084949712651
1992-01-31,,0.04966297368900996
1992-02-29,,-0.81105479974849
1992-03-31,,-2.20973644037349
1992-04-30,,-1.50526866693599
1992-05-31,,-3.26466808099849
1992-06-30,,-0.33803233881099004
1992-07-31,,-3.36439952631099
1992-08-31,,-4.87782726068599
1992-09-30,,-3.93495616693599
1992-10-31,,0.41758289556400996
1992-11-30,,1.67649402837651
1992-12-31,,2.06187000493901
1993-01-31,,0.96250477056401
1993-02-28,,-0.40016612787349004
1993-03-31,,-0.79164562006099
1993-04-30,,-1.72206554193599
1993-05-31,,0.37900867681400996
1993-06-30,,-2.88612804193599
1993-07-31,,-5.40724620599849
1993-08-31,,-6.37477550287349
1993-09-30,,-5.01222667474849
1993-10-31,,-0.39259776849849004
1993-11-30,,2.30149402837651
1993-12-31,,1.70469227056401
1994-01-31,,3.28013172368901
1994-02-28,,2.84604969243901
1994-03-31,,0.40745105962650996
1994-04-30,,-1.21828136224849
1994-05-31,,-1.75795421381099
1994-06-30,,-4.60194835443599
1994-07-31,,-6.59914073724849
1994-08-31,,-7.29225597162349
1994-09-30,,-6.63820323724849
1994-10-31,,1.17502918462651
1994-11-30,,4.58652820806401
1994-12-31,,3.21360340337651
1995-01-31,,4.72068348150151
1995-02-28,,2.88755359868901
1995-03-31,,1.69956531743901
1995-04-30,,-1.91859874506099
1995-05-31,,-2.78957042474849
1995-06-30,,-5.12379894037349
1995-07-31,,-6.34938487787349
1995-08-31,,-7.29872569818599
1995-09-30,,-7.14540538568599
1995-10-31,,-7.50307140131099
1995-11-30,,-6.92604503412349
1995-12-31,,-0.84035167474849
1996-01-31,,5.49497547368901
1996-02-29,,7.55405750493901
1996-03-31,,5.67124500493901
1996-04-30,,2.96140613775151
1996-05-31,,0.75645008306401
1996-06-30,,-3.37099132318599
1996-07-31,,-5.41273937006099
1996-08-31,,-4.71437511224849
1996-09-30,,-5.08461437006099
1996-10-31,,-4.96754894037349
1996-11-30,,-1.74928722162349
1996-12-31,,7.20017566900151
1997-01-31,,14.11643543462651
1997-02-28,,11.61521473150151
1997-03-31,,5.34348621587651
1997-04-30,,2.35105457525151
1997-05-31,,2.64438953618901
1997-06-30,,1.62400379400151
1997-07-31,,-0.71779308099849
1997-08-31,,-2.24269542474849
1997-09-30,,-3.38539562006099
1997-10-31,,-4.77223644037349
1997-11-30,,0.32419910650150996
1997-12-31,,4.07627430181401
1998-01-31,,5.54233875493901
1998-02-28,,4.73643055181401
1998-03-31,,1.00339832525151
1998-04-30,,-0.09816417474849004
1998-05-31,,-0.30763683099849004
1998-06-30,,-3.31593761224849
1998-07-31,,-5.78542003412349
1998-08-31,,-6.59865245599849
1998-09-30,,-7.02528819818599
1998-10-31,,-4.24428233881099
1998-11-30,,-3.97523937006099
1998-12-31,,-2.21803722162349
1999-01-31,,0.81077137212651
1999-02-28,,0.32175770025150996
